License Plate Text,Capture Time
33308877,2024-07-17 11:54:46
33308877,2024-07-17 11:54:46
3330 8877,2024-07-17 11:54:47
3330 8877,2024-07-17 11:54:47
3330 8877,2024-07-17 11:54:48
3330 8877,2024-07-17 11:54:48
3330 8877,2024-07-17 11:54:48
3330 8877,2024-07-17 11:54:48
333머 8877,2024-07-17 11:54:49
33308877,2024-07-17 11:54:49
33308877,2024-07-17 11:54:53
137로2805,2024-07-17 11:55:15
137로2805,2024-07-17 11:55:16
137로2805,2024-07-17 11:55:16
137로2805,2024-07-17 11:55:16
137로2805,2024-07-17 11:55:16
137로2805,2024-07-17 11:55:16
13732805,2024-07-17 11:55:17
13732805,2024-07-17 11:55:17
